Strain Name,Species,Review Count,Rating Value,Pain,Euphoric,Fatigue,Paranoid,Focused,Spasticity,Nausea,Tingly,Headache,Dry Mouth,Aroused,Happy,Muscle Spasms,Uplifted,Anxious,Energetic,Headaches,Depression,Giggly,Talkative,Dizzy,Insomnia,Inflammation,Stress,Relaxed,Seizures,Cramps,Sleepy,Hungry,Lack of Appetite,Dry Eyes,Creative,Eye Pressure,Orange,Violet,Mint,Peach,Chestnut,Rose,Coffee,Citrus,Lime,Plum,Sage,Pine,Pungent,Pear,Tar,Tree Fruit,Berry,Vanilla,Pepper,Chemical,Tea,Ammonia,Apple,Skunk,Pineapple,Grapefruit,Honey,Earthy,Cheese,Blue Cheese,Tropical,Grape,Lemon,Flowery,Strawberry,Butter,Tobacco,Spicy/Herbal,Woody,Blueberry,Sweet,Lavender,Nutty,Apricot,Diesel,Menthol,Mango
Sugar Black Rose,indica,157,4.5,100,51.28855415,0,0,0,0,60.84969034,0,1.483641897,100,0,84.35613043,0,49.60579903,2.225462846,0,0,60.23078009,0,0,13.0725336,49.97599403,0,70.11236408,100,0,0,53.37330076,0,0,46.81714431,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Cream Caramel,indica,64,4.2,33.25062035,0,0,0,0,0,0,0,0.469483568,100,0,96.59763314,0,79.43786982,7.746478873,0,0,67.24565757,0,0,0.234741784,77.41935484,0,100,100,0,0,61.24260355,80.62130178,73.44913151,16.43192488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bubba OG,indica,228,4.3,25.38925346,18.77232479,0,8.486706238,0,0,0,0,3.019833487,84.19035991,0,25.5668613,0,0,0,0,0,19.50020583,0,0,10.0141575,100,0,57.61516171,100,0,0,70.64071834,49.62486547,41.15633904,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Tillamook Strawberry,hybrid,16,4.7,44.94949495,31.79916318,0,0,57.32217573,0,0,0,0,100,0,80.33472803,0,48.9539749,29.31034483,0,0,44.94949495,0,0,0,7.070707071,0,100,100,0,0,0,0,37.87878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Lemonhead OG,hybrid,59,4.8,34.52497551,96.41205326,68.0950049,0,0,0,0,0,2.383192223,100,0,100,0,0,2.383192223,0,0,100,0,46.62929222,9.971777987,0,0,94.07443683,99.80378416,0,0,0,44.73721093,76.64054848,21.8877391,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G13 Haze,hybrid,144,4.4,100,71.67060678,0,11.16900033,0,0,0,0,0,54.60761967,0,100,0,50.83100509,9.410615435,0,10.27829643,60.22939451,0,0,40.28003908,0,44.18956166,40.43744999,83.82405616,0,0,0,50.2328247,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kahuna,indica,4,4.2,80,100,20,0,60,0,0,0,0,100,0,0,0,100,0,0,0,60,0,0,0,60,0,100,80,0,0,0,0,0,100,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
U2 Kush,indica,30,4.1,54.54545455,76.47058824,0,0,0,0,27.27272727,0,4.47761194,100,0,96.88581315,0,84.77508651,4.47761194,0,0,36.36363636,0,0,49.25373134,100,0,63.63636364,100,0,0,0,65.05190311,0,4.47761194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Al's Dream,hybrid,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangie,sativa,779,4.5,60.0289034,74.65237775,50.09769351,20.4623986,0,0,0,0,0,100,0,97.76312638,0,100,26.03698596,78.38867533,0,100,0,0,14.99162106,0,0,92.46199202,0,0,0,0,0,0,58.93580104,61.19007152,24.01410486,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
