Strain Name,Species,Review Count,Rating Value,Pain,Euphoric,Fatigue,Paranoid,Focused,Spasticity,Nausea,Tingly,Headache,Dry Mouth,Aroused,Happy,Muscle Spasms,Uplifted,Anxious,Energetic,Headaches,Depression,Giggly,Talkative,Dizzy,Insomnia,Inflammation,Stress,Relaxed,Seizures,Cramps,Sleepy,Hungry,Lack of Appetite,Dry Eyes,Creative,Eye Pressure,Orange,Violet,Mint,Peach,Chestnut,Rose,Coffee,Citrus,Lime,Plum,Sage,Pine,Pungent,Pear,Tar,Tree Fruit,Berry,Vanilla,Pepper,Chemical,Tea,Ammonia,Apple,Skunk,Pineapple,Grapefruit,Honey,Earthy,Cheese,Blue Cheese,Tropical,Grape,Lemon,Flowery,Strawberry,Butter,Tobacco,Spicy/Herbal,Woody,Blueberry,Sweet,Lavender,Nutty,Apricot,Diesel,Menthol,Mango
White Fire OG,hybrid,650,4.5,61.2879308,94.69175374,0,23.96958848,0,0,0,0,30.73802538,100,0,79.08023028,49.41079482,79.52334267,0,0,0,86.02216953,0,0,22.51040428,0,0,100,100,0,0,0,0,57.07543919,51.4682314,61.10034231,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ice,hybrid,167,4.1,84.14580588,94.18823189,60.25472112,45.43546695,0,0,36.97848046,0,42.91710388,100,0,0,0,100,0,82.72372416,0,85.24374177,0,90.03903426,47.11437566,0,0,100,0,0,0,0,77.73601272,0,42.81217209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ghost OG,hybrid,407,4.5,96.97286279,69.35463421,0,24.47612166,0,0,0,0,0,100,0,68.13236972,0,42.9567643,17.68376798,0,0,68.66352402,0,0,15.81488537,60.5401962,0,100,100,0,0,39.24812983,0,44.07695248,57.01241542,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Diesel,sativa,5110,4.4,66.89582406,72.06474548,39.76746444,37.30193686,0,0,0,0,0,100,0,100,0,79.9488461,33.55622094,80.32475012,0,90.41835703,0,0,28.08020249,0,0,100,0,0,0,0,0,39.24666808,59.60690732,59.71932028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Granddaddy Purple,indica,3169,4.4,85.89578658,66.07554767,0,0,0,0,0,0,7.058857708,100,0,61.61018013,0,0,10.84856137,0,0,61.63890895,0,0,22.95254045,81.50994449,0,100,100,0,0,74.61082267,43.26372437,40.05397059,50.88722936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Moby Dick,sativa,444,4.3,55.1302371,91.49671586,36.22944783,29.89548898,0,0,0,0,0,100,0,87.68752027,0,100,38.31180831,84.18241161,0,75.83369355,0,0,25.69451574,0,0,100,74.69794032,0,0,0,0,18.04428222,59.46656263,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lost Sierra Night Nurse,hybrid,1,5,100,0,0,0,100,0,0,0,0,100,0,100,100,100,0,100,100,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Golden Calyx,sativa,4,5,100,0,0,0,0,0,0,0,100,50,0,75,100,75,0,75,100,0,0,0,0,0,0,100,100,0,0,0,50,0,50,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Broke Diesel,hybrid,2,5,50,100,0,0,0,0,100,0,100,0,0,50,0,100,0,50,0,0,0,0,0,50,0,100,0,0,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake of Fire,hybrid,43,4.5,89.55223881,0,41.41791045,0,0,0,0,0,0,100,0,96.85314685,0,94.33566434,12.3566879,0,41.41791045,0,0,0,2.292993631,0,0,100,100,0,0,0,48.11188811,42.08955224,16.94267516,53.63636364,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jelly Roll,indica,7,4.7,0,0,0,100,0,0,36.84210526,0,0,0,0,44.44444444,0,33.33333333,0,0,31.57894737,0,0,33.33333333,0,100,0,68.42105263,83.33333333,0,31.57894737,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Platinum Kush,indica,493,4.4,82.39918352,66.60988654,0,64.63392288,51.94941391,0,0,0,0,100,0,59.87960836,0,61.06239058,43.85375239,0,0,68.11284969,0,0,44.35495365,69.85841747,0,100,100,0,0,0,0,62.3357793,55.94552957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Jilly Dawg,hybrid,2,5,0,50,0,0,50,0,0,0,0,100,0,100,0,100,0,50,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Project Blue Book,hybrid,10,4.6,100,0,94.73684211,0,80.76923077,0,0,0,0,100,0,100,94.73684211,84.61538462,5.555555556,0,0,94.73684211,0,80.76923077,0,0,0,100,0,0,0,0,0,0,5.555555556,80.76923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Sour Cherry Sherbert,hybrid,11,4.6,100,63.63636364,23.07692308,100,0,0,0,0,0,26.08695652,0,100,0,89.09090909,0,0,0,11.53846154,89.09090909,0,0,0,0,23.07692308,0,0,0,0,0,0,0,89.09090909,76.92307692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rigger Kush,indica,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death Star OG,indica,162,4.5,100,95.74366332,0,67.41979214,0,0,0,0,0,100,0,0,0,100,16.47085404,0,0,79.50765136,0,73.7637494,67.41979214,62.59481038,0,87.79773786,94.15590626,0,0,82.94595887,0,46.70658683,33.59692725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Shark Bite,hybrid,12,4.1,73.33333333,100,0,0,46.42857143,0,0,0,0,100,0,0,0,0,100,60.71428571,86.66666667,26.66666667,0,46.42857143,100,0,0,100,60.71428571,0,13.33333333,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Berry Noir,indica,9,4.4,0,80,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,33.33333333,0,0,0,33.33333333,33.33333333,100,100,0,0,60,40,33.33333333,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
King's Bread,sativa,20,4.2,33.33333333,100,40,0,83.33333333,0,0,0,100,80,0,77.77777778,0,83.33333333,0,0,0,73.33333333,0,0,20,33.33333333,0,100,0,0,0,0,0,0,20,88.88888889,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Nina,hybrid,6,3.9,94.73684211,75,0,100,50,0,94.73684211,0,0,0,0,100,0,50,100,0,0,5.263157895,0,0,100,0,94.73684211,100,100,0,0,0,0,0,5.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Trifecta,hybrid,5,4.4,100,0,0,33.33333333,0,0,75,100,33.33333333,100,0,60,0,40,0,0,0,25,0,0,0,100,0,50,0,0,0,80,80,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pluto Kush,indica,15,4,100,100,0,0,0,0,50,0,0,89.18918919,0,64.76190476,0,0,0,0,0,89.18918919,0,0,5.405405405,60.81081081,0,97.2972973,94.28571429,0,0,68.57142857,0,0,100,39.04761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Blockhead,hybrid,54,4.1,100,20.61068702,0,1.418439716,0,0,0,0,3.546099291,100,0,27.86259542,0,0,0,0,40.90909091,68.18181818,0,0,32.62411348,81.81818182,0,90.90909091,100,0,0,82.2519084,19.08396947,0,65.24822695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Romping Goddess,hybrid,3,4,66.66666667,50,0,0,0,0,66.66666667,0,0,100,0,100,33.33333333,0,0,50,0,0,0,0,100,33.33333333,0,100,0,0,0,0,100,0,100,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China Yunnan,indica,9,4.4,0,0,50,0,0,0,0,0,43.47826087,100,0,48.71794872,0,48.71794872,0,0,50,100,0,0,0,50,0,100,100,0,0,88.46153846,62.82051282,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Future,hybrid,50,4.8,84.71794872,68.72887965,0,0,0,0,0,0,5.789473684,100,0,94.07330387,55.28205128,58.12321289,30.81871345,0,0,100,0,0,7.251461988,0,50.42735043,65.43589744,100,0,0,0,0,0,23.15789474,83.12971146,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doobiebird Daydream,hybrid,9,4.6,0,89,0,0,0,0,0,64,100,100,0,100,0,86,0,0,19.44444444,100,0,0,0,0,0,100,82,0,0,0,0,0,0,0,69.44444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Golden Goat,hybrid,904,4.5,71.91581302,73.26032936,41.65724301,37.99393662,0,0,0,0,15.90775198,100,0,100,0,69.68647023,15.59810852,65.41828439,30.72504665,80.37691149,0,0,0,0,0,100,79.26935798,0,0,0,0,0,61.93331727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Platinum Purple Kush,indica,104,4.3,69.88964792,0,0,1.454192923,62.36042184,0,0,0,0,100,0,78.39640199,50.18392013,0,0.727096461,0,0,41.14555964,51.90756824,0,6.446921958,83.86757751,0,100,100,0,0,82.52171216,0,0,12.16674746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sheriff,hybrid,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wellness OG,hybrid,28,4.9,18.63354037,0,5.590062112,79.54545455,0,0,47.20496894,70.50243112,0,100,0,100,0,86.22366288,79.54545455,0,0,60.2484472,0,0,3.409090909,0,0,100,85.25121556,0,0,0,0,0,79.54545455,84.7649919,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
East Coast Sour Diesel,sativa,151,4.3,44.13165193,82.81622912,47.55899744,43.56559237,0,0,0,0,13.77666818,100,0,100,0,75.39720423,0,80.42618479,0,79.25278635,0,0,19.49614163,46.0206164,0,100,74.98465735,0,0,0,0,0,42.65773945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
White Skunk,hybrid,30,4.5,100,99.58419958,0,1.960784314,0,0,0,0,7.843137255,100,0,99.58419958,0,0,0,0,20.85308057,0,0,0,13.7254902,23.22274882,0,25.11848341,100,0,0,0,18.71101871,21.32701422,11.76470588,27.23492723,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Anubis,indica,6,5,78.57142857,60,0,0,0,0,0,0,0,66.66666667,0,53.33333333,0,33.33333333,100,0,0,78.57142857,0,0,0,57.14285714,0,100,100,0,0,53.33333333,0,35.71428571,66.66666667,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Jack,sativa,133,4.5,0,0,52.50620347,57.77610819,100,0,0,0,0,100,0,56.32079746,0,0,29.90232908,54.1685546,84.01985112,62.87841191,0,0,29.4515402,0,0,100,76.3253285,0,0,0,56.66062528,0,37.94139745,0,76.62531017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Zkittlez,indica,35,4.7,100,83.90625,0,0,0,0,0,0,2.358490566,100,0,100,0,99.84375,2.358490566,0,0,74.71098266,0,0,42.9245283,45.95375723,0,100,76.71875,0,0,0,0,41.1849711,9.433962264,84.84375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Sunshine Daydream,indica,63,4.5,100,34.73251029,0,0,0,0,0,0,8.163265306,100,0,89.87654321,0,92.9218107,33.87755102,0,0,62.67029973,0,0,33.87755102,86.3760218,65.39509537,95.91280654,100,0,0,85.67901235,0,0,97.55102041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Birthday Cake Kush,hybrid,184,4.5,78.43972101,73.22358854,0,39.2618002,0,0,0,0,0,100,0,89.03163869,0,60.4576386,57.97233267,0,0,92.65474948,0,0,70.69549475,81.5565238,0,100,100,0,0,52.87585944,0,55.1145055,46.82224128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The OX,indica,15,4.8,100,47.05882353,0,20,0,0,0,0,0,100,0,35.29411765,40,29.41176471,0,0,0,50,0,0,0,0,60,90,100,0,0,0,41.17647059,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinex,sativa,667,4.3,33.72378638,0,48.32196831,43.80407603,62.2595422,0,0,0,22.18279082,100,0,53.15549835,0,100,0,66.48813972,0,100,0,0,28.72529929,0,0,67.68318063,50.75368817,0,0,0,0,28.66451185,55.01676219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Midnight,hybrid,81,4.4,59.52626159,60.50168763,0,0,0,0,0,0,100,48.03102625,0,100,0,66.53881559,18.64558473,0,90.55956059,100,0,0,21.03221957,87.9848953,0,63.93179998,65.41116907,0,0,62.85670451,0,0,44.45107399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Morning Glory,hybrid,9,4.9,58.69565217,61.2244898,0,0,57.14285714,0,0,0,0,61.11111111,0,0,0,59.18367347,0,63.26530612,19.56521739,19.56521739,0,0,55.55555556,0,19.56521739,100,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cherry Kola,indica,56,4.7,59.8944591,98.29931973,0,44.50549451,0,0,0,18.36734694,0,100,0,19.16099773,0,0,41.75824176,0,65.4353562,0,0,80.55555556,44.50549451,37.20316623,0,100,100,0,0,0,0,57.25593668,86.26373626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
White Sangria,hybrid,17,4.6,0,62.71186441,0,69.23076923,0,0,0,0,0,100,0,81.3559322,0,0,0,62.71186441,0,100,0,0,0,73.33333333,73.33333333,100,100,0,0,0,0,100,69.23076923,86.44067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Soul Assassin OG,hybrid,30,4.4,96.7032967,100,0,3.658536585,94.16666667,0,0,0,0,100,0,76.66666667,0,0,1.219512195,0,90.10989011,96.7032967,0,0,1.219512195,98.9010989,0,100,99.16666667,0,0,0,5.833333333,0,1.219512195,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Super Sour Diesel,sativa,381,4.5,30.31081697,67.4489473,65.33142942,9.278770543,0,0,0,0,0,100,0,100,0,0,6.742432354,87.77509942,31.54620109,54.62567577,0,0,6.372549701,0,0,100,64.615151,0,0,0,0,0,66.16533198,65.4308493,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
White Kryptonite,indica,9,4.6,4.761904762,4.6875,0,0,0,0,0,0,0,100,0,100,0,96.875,0,0,4.761904762,6.349206349,0,0,0,100,0,7.936507937,100,0,0,95.3125,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Y Griega,sativa,49,4.8,14.81481481,44.28571429,0,3.703703704,0,0,0,0,1.234567901,100,0,100,0,71.42857143,2.469135802,74.28571429,45.67901235,58.02469136,0,0,0,0,100,69.13580247,0,0,0,0,0,0,1.234567901,37.85714286,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Purple Frost,hybrid,6,4.7,0,40,0,0,0,0,66.66666667,0,0,100,0,40,0,0,0,0,0,100,0,60,0,33.33333333,0,66.66666667,100,0,0,20,0,0,66.66666667,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Negra 44,indica,3,5,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,80,100,0,0,40,0,100,0,0,80,0,0,0,60,100,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Connie Chung,hybrid,55,4.2,28.17679558,25.40415704,0,2.97029703,0,0,0,0,0,100,0,0,0,23.67205543,1.485148515,0,0,19.88950276,0,0,4.455445545,100,0,44.75138122,100,0,0,23.3256351,0,90.05524862,94.05940594,22.63279446,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Original Glue,hybrid,2975,4.7,68.44871708,77.15800243,35.05188271,18.4600007,0,0,0,0,0,100,0,80.64088577,0,53.0678002,16.20745299,0,0,97.96651167,0,0,36.18296235,61.33904644,0,100,100,0,0,0,39.77781004,0,55.96311162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blood Orange Kush,indica,15,4.8,100,100,0,4.838709677,0,0,0,86.60714286,4.838709677,100,0,52.67857143,0,52.67857143,0,0,45.63106796,54.36893204,0,0,9.677419355,0,54.36893204,54.36893204,0,0,0,58.03571429,0,0,95.16129032,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherry Sherbet,hybrid,29,4.2,99.25149701,0,45.20958084,36.04060914,0,0,39.52095808,77.72277228,0,80.45685279,0,97.52475248,0,0,43.14720812,0,0,70.50898204,52.31023102,0,91.87817259,0,0,100,100,0,0,84.81848185,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Green Dream,hybrid,130,4.4,26.46153846,100,75.38461538,3.142857143,92.17252396,0,0,0,0,100,0,75.0798722,0,67.41214058,1.428571429,92.01277955,0,100,0,0,3.142857143,0,0,52.61538462,0,0,0,0,0,39.38461538,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Purple Berry,indica,69,4.4,100,72.01077804,0,11.649535,0,0,0,0,10.76847773,96.72050906,0,80.0269451,0,0,0,0,0,0,0,0,100,91.33419133,70.6992707,0,100,0,69.15486915,20.14146177,25.42943752,83.998284,16.49534998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Charlotte's Web,sativa,198,4.5,99.38136979,0,0,83.66173051,71.13727787,0,0,0,0,100,0,74.22745557,55.30763746,91.02230168,11.10635173,0,0,59.73870738,0,0,32.1564068,0,65.75095416,100,100,0,0,0,0,0,96.51205483,49.0559931,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Master Jedi,indica,64,4.4,0,73.97590361,46.82395644,0,0,0,44.2831216,0,22.48803828,100,0,100,0,0,1.674641148,0,0,0,58.79518072,0,3.349282297,50.63520871,0,100,83.25301205,0,0,0,83.13253012,0,30.02392344,0,35.39019964,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Romulan,indica,616,4.2,78.56738544,47.87968873,0,34.63561358,0,0,0,0,0,100,0,58.13654737,0,38.91889347,40.79749962,0,56.23584906,61.62668464,0,0,40.11023172,55.6509434,0,100,100,0,0,84.48154102,0,0,52.64909008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Urkle,hybrid,63,4.6,99.73219068,84.99103943,0,7.508161045,0,0,0,0,0,100,0,92.47311828,0,50.17921147,2.720348205,0,0,98.39314408,0,0,1.632208923,53.936797,0,100,100,0,0,80.33154122,0,47.61649705,11.86071817,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Webster,sativa,9,4.3,25,66.66666667,100,0,0,0,0,0,0,0,66.66666667,41.66666667,0,41.66666667,100,100,0,100,0,0,0,0,0,75,0,0,0,0,0,0,100,0,12.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alien OG,hybrid,674,4.5,51.13493277,100,36.57306077,20.92547624,0,0,0,0,11.94990196,100,0,94.9046475,0,70.78776453,0,0,0,74.41373074,0,0,27.80584088,36.97742811,0,100,99.32339384,0,0,0,0,0,44.77528601,46.89733657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
