strain_name,species,flavour1,flavour2,flavour3,prop1,val1,prop2,val2,prop3,val3,prop4,val4,prop5,val5,prop6,val6,prop7,val7,prop8,val8,prop9,val9,prop10,val10,prop11,val11,prop12,val12,prop13,val13,prop14,val14,prop15,val15
Strawberry,sativa,Strawberry,Earthy,Berry,Uplifted,100,Happy,98.86723906,Relaxed,82.23368212,Energetic,62.76516131,Giggly,45.12470575,Stress,100,Pain,99.96437868,Depression,89.22318126,Muscle Spasms,64.18139471,Insomnia,42.04685573,Dizzy,100,Dry Mouth,75.30222694,Headache,72.54772004,Paranoid,62.64581124,Dry Eyes,38.46235419
Exodus Cheese,hybrid,Cheese,Blueberry,Pungent,Relaxed,100,Uplifted,95.32462229,Happy,92.99714169,Creative,76.64352797,Focused,75.82686811,Depression,100,Pain,21.1980377,Lack of Appetite,14.89801188,Stress,13.76194165,Fatigue,10.27627162,Anxious,100,Dry Eyes,17.64209342,Dry Mouth,13.73100732,Paranoid,5.458638154,Dizzy,1.688238604
Vanilla Kush,indica,Vanilla,Sweet,Flowery,Relaxed,100,Happy,57.10905878,Sleepy,56.50333504,Euphoric,16.18493814,Uplifted,11.00849438,Insomnia,100,Stress,91.74618912,Pain,90.17226422,Depression,75.92018838,Muscle Spasms,55.54591647,Dry Mouth,100,Dry Eyes,66.84995112,Headache,26.25855327,Dizzy,17.27761486,Paranoid,5.058651026
Master Yoda,hybrid,Earthy,Pungent,Flowery,Euphoric,100,Happy,98.17351598,Relaxed,97.43150685,Uplifted,78.71004566,Sleepy,54.05251142,Stress,100,Insomnia,68.07228916,Pain,59.63855422,Lack of Appetite,56.98795181,Eye Pressure,38.91566265,Dry Mouth,100,Dry Eyes,34.56521739,Dizzy,6.413043478,Paranoid,1.956521739,Anxious,1.630434783
Argyle,indica,Spicy/Herbal,Earthy,Pungent,Happy,100,Relaxed,81.45695364,Sleepy,48.34437086,Uplifted,45.03311258,Euphoric,45.03311258,Pain,100,Inflammation,93.37748344,Muscle Spasms,73.50993377,Stress,58.2781457,Cramps,38.41059603,Dry Mouth,100,Dry Eyes,33.33333333,Dizzy,11.11111111,,,,
Blowfish,hybrid,Spicy/Herbal,Lime,Lemon,Relaxed,100,Euphoric,72.55434783,Creative,48.36956522,Focused,47.55434783,Uplifted,29.89130435,Insomnia,100,Pain,79.17888563,Stress,53.95894428,Fatigue,47.80058651,Headaches,26.97947214,Dry Mouth,100,Dry Eyes,60.60606061,Anxious,60.60606061,Headache,1.136363636,,
Northern Berry,indica,Sweet,Berry,Blueberry,Relaxed,100,Sleepy,79.59183673,Happy,60.20408163,Euphoric,58.16326531,Hungry,48.97959184,Stress,100,Insomnia,96.55172414,Pain,64.36781609,Depression,59.77011494,Inflammation,58.62068966,Dry Eyes,100,Dry Mouth,80,Dizzy,32,Headache,30,Paranoid,6
Jack 47,hybrid,Lemon,Chemical,Citrus,Happy,100,Euphoric,98.6013986,Energetic,95.1048951,Talkative,94.40559441,Creative,93.70629371,Depression,100,Lack of Appetite,100,Fatigue,66.66666667,Inflammation,66.66666667,Seizures,66.66666667,Dry Eyes,100,Dry Mouth,100,,,,,,
Critical Widow,hybrid,Sweet,Butter,Skunk,Relaxed,100,Uplifted,62.85714286,Euphoric,61.78571429,Happy,55.17857143,Talkative,34.82142857,Stress,100,Pain,89.56228956,Inflammation,87.54208754,Insomnia,23.90572391,Depression,15.48821549,Dizzy,100,Dry Eyes,100,Dry Mouth,91.89189189,Anxious,83.78378378,,
Congo,sativa,Diesel,Sweet,Ammonia,Happy,100,Uplifted,80,Energetic,80,Euphoric,70,Talkative,66.66666667,Depression,100,Stress,90,Pain,20,Fatigue,10,Inflammation,10,Dry Mouth,100,,,,,,,,
